lowpass_hz,degree,n_delays,delay_samples,configurations,trial_simulations,completed_trial_simulations,completion_fraction
35.0,1,2,1,3,27,27,1.0
35.0,1,2,2,3,27,27,1.0
35.0,1,2,5,3,27,27,1.0
35.0,1,4,1,3,27,27,1.0
35.0,1,4,2,3,27,27,1.0
35.0,1,4,5,3,27,27,1.0
35.0,1,6,1,3,27,27,1.0
35.0,1,6,2,3,27,27,1.0
35.0,1,6,5,3,27,27,1.0
35.0,1,8,1,3,27,27,1.0
35.0,1,8,2,3,27,27,1.0
35.0,1,8,5,3,27,27,1.0
35.0,2,2,1,3,27,27,1.0
35.0,2,2,2,3,27,27,1.0
35.0,2,2,5,3,27,27,1.0
35.0,2,4,1,3,27,27,1.0
35.0,2,4,2,3,27,27,1.0
35.0,2,4,5,3,27,24,0.8888888888888888
35.0,2,6,1,3,27,18,0.6666666666666666
35.0,2,6,2,3,27,18,0.6666666666666666
35.0,2,6,5,3,27,24,0.8888888888888888
35.0,2,8,1,3,27,0,0.0
35.0,2,8,2,3,27,11,0.4074074074074074
35.0,2,8,5,3,27,12,0.4444444444444444
35.0,3,2,1,3,27,27,1.0
35.0,3,2,2,3,27,27,1.0
35.0,3,2,5,3,27,27,1.0
35.0,3,4,1,3,27,27,1.0
35.0,3,4,2,3,27,16,0.5925925925925926
35.0,3,4,5,3,27,8,0.2962962962962963
35.0,3,6,1,3,27,0,0.0
35.0,3,6,2,3,27,4,0.14814814814814814
35.0,3,6,5,3,27,4,0.14814814814814814
35.0,3,8,1,3,27,0,0.0
35.0,3,8,2,3,27,2,0.07407407407407407
35.0,3,8,5,3,27,10,0.37037037037037035
80.0,1,2,1,3,27,27,1.0
80.0,1,2,2,3,27,27,1.0
80.0,1,2,5,3,27,27,1.0
80.0,1,4,1,3,27,27,1.0
80.0,1,4,2,3,27,27,1.0
80.0,1,4,5,3,27,27,1.0
80.0,1,6,1,3,27,27,1.0
80.0,1,6,2,3,27,27,1.0
80.0,1,6,5,3,27,27,1.0
80.0,1,8,1,3,27,27,1.0
80.0,1,8,2,3,27,27,1.0
80.0,1,8,5,3,27,27,1.0
80.0,2,2,1,3,27,23,0.8518518518518519
80.0,2,2,2,3,27,25,0.9259259259259259
80.0,2,2,5,3,27,27,1.0
80.0,2,4,1,3,27,18,0.6666666666666666
80.0,2,4,2,3,27,9,0.3333333333333333
80.0,2,4,5,3,27,21,0.7777777777777778
80.0,2,6,1,3,27,18,0.6666666666666666
80.0,2,6,2,3,27,8,0.2962962962962963
80.0,2,6,5,3,27,25,0.9259259259259259
80.0,2,8,1,3,27,6,0.2222222222222222
80.0,2,8,2,3,27,16,0.5925925925925926
80.0,2,8,5,3,27,20,0.7407407407407407
80.0,3,2,1,3,27,27,1.0
80.0,3,2,2,3,27,27,1.0
80.0,3,2,5,3,27,27,1.0
80.0,3,4,1,3,27,13,0.48148148148148145
80.0,3,4,2,3,27,19,0.7037037037037037
80.0,3,4,5,3,27,4,0.14814814814814814
80.0,3,6,1,3,27,9,0.3333333333333333
80.0,3,6,2,3,27,18,0.6666666666666666
80.0,3,6,5,3,27,16,0.5925925925925926
80.0,3,8,1,3,27,1,0.037037037037037035
80.0,3,8,2,3,27,12,0.4444444444444444
80.0,3,8,5,3,27,11,0.4074074074074074
